stationid,longitude,latitude,eveningendpct,eveningstartpct,morningendpct,morningstartpct
74,-0.124469,51.485917,0.001538208,0.00127089,0.001183716,0.001357419
75,-0.10548,51.532199,0.00071607,0.000744197,0.000605278,0.000651656
76,-0.144083,51.525595,0.000313482,0.000501142,0.000430286,0.00029201
77,-0.124121,51.523418,0.000827721,0.000947102,0.000591751,0.000500283
78,-0.099489,51.524868,0.000793581,0.001191016,0.001247271,0.00076438
80,-0.102091,51.500693,0.000644355,0.000501142,0.000319494,0.000681716
81,-0.141327,51.520253,0.000723155,0.001221935,0.001269816,0.000554176
82,-0.111257,51.514274,0.000302531,0.000887626,0.000791649,8.76031E-05
83,-0.13151,51.509639,0.000849407,0.000981885,0.000623958,7.85852E-05
84,-0.111778,51.515937,0.000200757,0.001283773,0.001331868,0.00010156
85,-0.0786,51.500647,0.00096342,0.000908238,0.00087367,0.001062188
86,-0.115156,51.489479,0.000559973,0.000192383,5.28195E-05,0.000547305
87,-0.079684,51.516468,0.000970935,0.001272178,0.001342389,0.000807323
88,-0.132053,51.518587,0.000795514,0.001658233,0.001321992,0.000234682
89,-0.123509,51.52625,0.000762233,0.000666686,0.00037081,0.000745486
90,-0.139174,51.533019,0.000161894,0.000233608,0.000188089,0.000214284
91,-0.111014,51.493686,0.000582947,0.000241338,8.33089E-05,0.000763951
92,-0.10044,51.498898,0.000566844,0.000470652,0.000405809,0.000461634
93,-0.109025,51.534408,0.00058853,0.00028106,7.14996E-05,0.0012404
94,-0.085814,51.495061,0.001099763,0.000505006,0.000220726,0.001145926
95,-0.09734,51.520841,0.001332727,0.001704396,0.001877456,0.001297729
96,-0.078505,51.53095,0.000575647,0.000300814,0.000141926,0.000476235
97,-0.183834,51.497924,0.000591751,0.000791649,0.000676563,0.000340536
98,-0.138231,51.525542,0.000673771,0.001411312,0.000999277,0.00082493
99,-0.158264,51.514577,0.001019031,0.001433213,0.000977162,0.000668833
100,-0.122806,51.490435,0.000357928,0.000620952,0.000490406,0.000262165
101,-0.09294,51.511553,0.003048289,0.003714975,0.003457962,0.002914952
102,-0.076793,51.513406,0.000656379,0.001128105,0.001211414,0.00060356
103,-0.192538,51.504723,0.000243915,0.000184224,6.09787E-05,0.000214284
104,-0.077121,51.511594,0.003003414,0.002933202,0.003006205,0.002357555
105,-0.19024,51.515529,0.000552673,0.000331733,0.00011208,0.000542367
106,-0.147301,51.514105,0.000289004,0.000871522,0.000702113,3.99367E-05
107,-0.096317,51.526008,0.00155925,0.001601978,0.001235247,0.001090316
108,-0.132102,51.498125,0.000371669,0.001715132,0.002030332,0.000166618
109,-0.132328,51.515631,0.001709764,0.003248831,0.002773026,0.000201187
110,-0.172528,51.533043,0.000446819,0.000278698,0.000108001,0.000424274
111,-0.157275,51.510017,0.001954967,0.002198238,0.000451543,0.000269466
112,-0.10527,51.515809,0.000263454,0.002089378,0.001996836,0.000114013
113,-0.183289,51.496462,0.000427924,0.000422127,0.000258086,0.000209775
114,-0.158963,51.524517,0.000856278,0.000754718,0.000429427,0.000519822
115,-0.073537,51.514233,0.000602916,0.001628388,0.001775467,0.000586598
116,-0.141423,51.514499,0.001366437,0.00202797,0.001397785,0.000278698
