Product Category,Units,Week Ending,Geography,Type,ASP
PLU 4225,15488.2,1/9/2022,Northeast,Organic,1.679581473
PLU 4770,4.52,1/9/2022,Northeast,Organic,1.679581473
Bulk GTIN,16321.67,1/9/2022,Northeast,Organic,1.679581473
Bagged,302604.37,1/9/2022,Northeast,Organic,1.679581473
PLU 4046,21719.41,1/9/2022,Northeast,Organic,1.679581473
PLU 4225,14180.99,1/2/2022,Northeast,Organic,1.777734784
PLU 4770,23.98,1/2/2022,Northeast,Organic,1.777734784
Bulk GTIN,14993.3,1/2/2022,Northeast,Organic,1.777734784
Bagged,176733.39,1/2/2022,Northeast,Organic,1.777734784
PLU 4046,21099.01,1/2/2022,Northeast,Organic,1.777734784
PLU 4225,1991.68,1/23/2022,Plains,Organic,1.658772812
PLU 4770,50.5,1/23/2022,Plains,Organic,1.658772812
Bulk GTIN,5033.74,1/23/2022,Plains,Organic,1.658772812
Bagged,31675.32,1/23/2022,Plains,Organic,1.658772812
PLU 4046,9267.42,1/23/2022,Plains,Organic,1.658772812
PLU 4225,2120.66,1/16/2022,Plains,Organic,1.740967804
PLU 4770,16.96,1/16/2022,Plains,Organic,1.740967804
Bulk GTIN,5929.74,1/16/2022,Plains,Organic,1.740967804
Bagged,33231.2,1/16/2022,Plains,Organic,1.740967804
PLU 4046,10444.77,1/16/2022,Plains,Organic,1.740967804
PLU 4225,2001.8,1/9/2022,Plains,Organic,1.628020098
PLU 4770,83.69,1/9/2022,Plains,Organic,1.628020098
Bulk GTIN,6423.51,1/9/2022,Plains,Organic,1.628020098
Bagged,33209.71,1/9/2022,Plains,Organic,1.628020098
PLU 4046,13060.53,1/9/2022,Plains,Organic,1.628020098
PLU 4225,2302.95,1/2/2022,Plains,Organic,1.62493365
PLU 4770,10.09,1/2/2022,Plains,Organic,1.62493365
Bulk GTIN,8006.99,1/2/2022,Plains,Organic,1.62493365
Bagged,30773.68,1/2/2022,Plains,Organic,1.62493365
PLU 4046,8251.3,1/2/2022,Plains,Organic,1.62493365
PLU 4225,4479.46,1/23/2022,South Central,Organic,1.456346957
PLU 4770,0,1/23/2022,South Central,Organic,1.456346957
Bulk GTIN,20417.14,1/23/2022,South Central,Organic,1.456346957
Bagged,121713.34,1/23/2022,South Central,Organic,1.456346957
PLU 4046,32552.47,1/23/2022,South Central,Organic,1.456346957
PLU 4225,2447.73,1/16/2022,South Central,Organic,1.456067818
PLU 4770,0,1/16/2022,South Central,Organic,1.456067818
Bulk GTIN,24174.73,1/16/2022,South Central,Organic,1.456067818
Bagged,115288.22,1/16/2022,South Central,Organic,1.456067818
PLU 4046,13710.88,1/16/2022,South Central,Organic,1.456067818
PLU 4225,2128.29,1/9/2022,South Central,Organic,1.432041651
PLU 4770,0,1/9/2022,South Central,Organic,1.432041651
Bulk GTIN,28552.37,1/9/2022,South Central,Organic,1.432041651
Bagged,110600.98,1/9/2022,South Central,Organic,1.432041651
PLU 4046,15256.41,1/9/2022,South Central,Organic,1.432041651
PLU 4225,2484.56,1/2/2022,South Central,Organic,1.441908141
